areaname;area vice;employyee
SUPERVISION DE TURNO III CTC (CLS53000080);CELSIA CENTROAMERICA (CLS80000009);2000004967
SUPERVISION TURNO I CTC (CLS53000077);CELSIA CENTROAMERICA (CLS80000009);2000004718
MANTENIMIENTO REDES Y SUBESTACIONES ZONA (CLS53000273);TRANSMISION Y DISTRIBUCION (CLS80000008);2000028711
TRANSMISION Y DISTRIBUCION (CLS51000577);TRANSMISION Y DISTRIBUCION (CLS80000008);2000001753
DESARROLLO DE SOLUCIONES TECNOLOGIA (CLS53000474);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000027687
PROYECTO REDUCCION DE PERDIDAS (CLS53000039);TRANSMISION Y DISTRIBUCION (CLS80000008);2000023703
EXPERIENCIA DEL COLABORADOR Y CULTURA (CLS53000466);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000026620
ESTRATEGIA TECNOLOGIA (CLS53000554);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000002484
OPERACION Y MANTENIMIENTO DE LA MEDIDA ZONA TOLIMA NORTE (CLS53000268);TRANSMISION Y DISTRIBUCION (CLS80000008);2000023104
PLANEACION MANTENIMIENTO LINEAS REDES Y UIETD (CLS53000231);TRANSMISION Y DISTRIBUCION (CLS80000008);2000021403
COMUNICACIONES INTERNAS (CLS51000797);ASUNTOS CORPORATIVOS (CLS80000002);2000026517
CIUDADES (CLS51000670);COMERCIAL (CLS80000004);2000025451
VENTAS PAP INTERNET (CLS53000543);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000028471
COMUNICACIONES MARCA (CLS51000798);ASUNTOS CORPORATIVOS (CLS80000002);2000024519
CRECIMIENTO RED (CLS53000031);TRANSMISION Y DISTRIBUCION (CLS80000008);2000026329
EXPERIENCIAS DE SERVICIO (CLS53000564);COMERCIAL (CLS80000004);2000025526
RELACIONAMIENTO Y DESARROLLO DE PROVEEDORES (CLS53000007);FINANCIERA (CLS80000005);2000021714
COMUNICACIONES SOSTENIBILIDAD Y GESTION SOCIAL (CLS53000315);CELSIA CENTROAMERICA (CLS80000009);2000004777
OPERACION Y MANTENIMIENTO RUTINARIO CENTRALES GENERACION (CLS53000595);GENERACION (CLS80000006);2000005288
EXPERIENCIAS DE SERVICIO ZONA (CLS53000243);COMERCIAL (CLS80000004);2000031206
COMPLEJO HIDRICO CHIRIQUI (CLS52000023);CELSIA CENTROAMERICA (CLS80000009);2000004872
MANTENIMIENTO MECANICO PRADO Y CUCUANA (CLS53000600);GENERACION (CLS80000006);2000005374
SUBESTACIONES TOLIMA SUR (CLS53000577);TRANSMISION Y DISTRIBUCION (CLS80000008);2000026497
SISTEMAS FOTOVOLTAICOS (CLS53000616);TRANSMISION Y DISTRIBUCION (CLS80000008);2000005186
OBRAS CIVILES PROYECTOS (CLS53000428);GENERACION (CLS80000006);2000027388
CENTRAL GENERACION (CLS53000590);GENERACION (CLS80000006);2000026854
DEVOPS TECNOLOGIA NEGOCIO (CLS53000545);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000023179
CENTRAL MERIELETRICA (CLS51000332);GENERACION (CLS80000006);2000004439
COMPLEJO TERMICO COLON (CLS53000494);CELSIA CENTROAMERICA (CLS80000009);2000004947
MANTENIMIENTO MECANICO ALTO Y BAJO ANCHICAYA (CLS53000380);GENERACION (CLS80000006);2000003500
SUPERVISION DE TURNO (CLS53000498);CELSIA CENTROAMERICA (CLS80000009);2000004737
PRESUPUESTO GENERACION (CLS53000209);GENERACION (CLS80000006);2000004412
PLANEACION Y DESEMPEÑO TYD (CLS53000562);TRANSMISION Y DISTRIBUCION (CLS80000008);2000011311
OPERACION CANALES DE SERVICIO (CLS53000451);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000026571
RECURSOS TERMICAS (CLS51000913);GENERACION (CLS80000006);2000004357
